"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,789888810
"2023-06-01",2,yandex,cpc,prof-frontend,1827336,2,3319,598435614
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,556347375
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,445077900
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,398280000
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,395757560
"2023-06-01",2,yandex,cpc,prof-frontend,1827336,2,3319,376792794
"2023-06-01",2,yandex,cpc,prof-python,1253608,2,2237,338216504
"2023-06-01",1,yandex,cpc,prof-python,1253608,1,2237,299981700
"2023-06-01",2,yandex,cpc,prof-python,1253608,2,2237,281850815
"2023-06-01",4,yandex,cpc,prof-frontend,1827336,4,3319,265971384
"2023-06-01",2,yandex,cpc,prof-frontend,1827336,2,3319,261371250
"2023-06-01",1,yandex,cpc,prof-frontend,1827336,1,3319,239372918
"2023-06-01",3,yandex,cpc,prof-frontend,1827336,3,3319,238659333
"2023-06-01",1,yandex,cpc,prof-python,1253608,1,2237,224986275
